Date --- Time, Charging State, Battery Level
08/05/2019 15:51:27.078, Unplugged,97
08/05/2019 15:51:32.211,Plugged,97
08/05/2019 15:52:12.303, Unplugged,97
08/05/2019 15:54:08.336, Unplugged,99
08/05/2019 15:54:13.243,Plugged,99
08/05/2019 15:55:32.802, Unplugged,100
08/05/2019 15:55:52.793,Plugged,100
08/05/2019 15:59:38.896, Unplugged,100
08/05/2019 15:59:40.792, Unplugged,100
08/05/2019 16:01:15.777,Plugged,100
08/05/2019 16:04:12.797, Unplugged,100
08/05/2019 16:05:17.878, Unplugged,100
08/05/2019 16:05:22.754,Plugged,100
08/05/2019 16:05:35.715, Unplugged,100
08/05/2019 16:06:44.590, Unplugged,100
08/05/2019 16:06:49.349,Plugged,100
08/05/2019 16:06:54.000, Unplugged,100
08/05/2019 17:01:53.435, Unplugged,89
08/05/2019 17:06:53.435, Unplugged,88
08/05/2019 17:11:53.436, Unplugged,87
08/05/2019 17:16:53.437, Unplugged,86
08/05/2019 17:21:53.439, Unplugged,85
08/05/2019 17:26:53.440, Unplugged,84
08/05/2019 17:31:53.442, Unplugged,84
08/05/2019 17:34:32.100, Unplugged,84
08/05/2019 18:14:25.718, Unplugged,82
08/05/2019 18:19:25.719, Unplugged,81
08/05/2019 18:24:25.718, Unplugged,81
08/05/2019 18:29:25.720, Unplugged,80
08/05/2019 18:34:25.720, Unplugged,80
08/05/2019 18:39:25.721, Unplugged,79
08/05/2019 18:44:25.723, Unplugged,78
08/05/2019 18:49:25.725, Unplugged,78
08/05/2019 18:54:25.726, Unplugged,77
08/05/2019 18:59:25.727, Unplugged,76
08/05/2019 19:25:14.430, Unplugged,75
08/05/2019 19:30:14.427, Unplugged,74
08/05/2019 19:35:14.427, Unplugged,73
08/05/2019 19:40:14.429, Unplugged,72
08/05/2019 19:45:14.431, Unplugged,71
08/05/2019 19:50:14.433, Unplugged,70
08/05/2019 19:55:14.433, Unplugged,69
08/05/2019 20:00:14.434, Unplugged,68
08/05/2019 20:05:14.435, Unplugged,68
08/05/2019 20:10:14.437, Unplugged,67
08/05/2019 20:15:14.438, Unplugged,66
08/05/2019 20:20:14.438, Unplugged,65
08/05/2019 20:25:14.441, Unplugged,64
08/05/2019 20:30:14.441, Unplugged,64
08/05/2019 20:35:14.441, Unplugged,63
08/05/2019 20:40:14.442, Unplugged,62
08/05/2019 20:45:14.444, Unplugged,61
08/05/2019 20:50:14.446, Unplugged,60
08/05/2019 20:55:14.446, Unplugged,59
08/05/2019 21:00:14.448, Unplugged,58
08/05/2019 21:05:14.449, Unplugged,58
08/05/2019 21:10:14.449, Unplugged,57
08/05/2019 21:15:14.451, Unplugged,56
08/05/2019 21:20:14.450, Unplugged,55
08/05/2019 21:25:14.452, Unplugged,55
08/05/2019 21:30:14.453, Unplugged,53
08/05/2019 21:35:14.453, Unplugged,53
08/05/2019 21:40:14.457, Unplugged,52
08/05/2019 21:45:14.457, Unplugged,51
08/05/2019 21:50:14.460, Unplugged,50
08/05/2019 21:55:14.461, Unplugged,49
08/05/2019 22:00:14.461, Unplugged,49
08/05/2019 22:05:14.463, Unplugged,48
08/05/2019 22:10:14.463, Unplugged,47
08/05/2019 22:15:14.464, Unplugged,46
08/05/2019 22:20:14.464, Unplugged,45
08/05/2019 22:25:14.466, Unplugged,45
08/05/2019 22:30:14.468, Unplugged,44
08/05/2019 22:35:14.469, Unplugged,44
08/05/2019 22:40:14.469, Unplugged,42
08/05/2019 22:45:14.471, Unplugged,42
08/05/2019 22:50:14.471, Unplugged,41
08/05/2019 22:55:14.472, Unplugged,40
08/05/2019 23:00:14.474, Unplugged,39
08/05/2019 23:05:14.475, Unplugged,38
08/05/2019 23:10:14.477, Unplugged,38
08/05/2019 23:15:14.477, Unplugged,37
08/05/2019 23:20:14.477, Unplugged,36
08/05/2019 23:25:14.479, Unplugged,36
08/05/2019 23:30:14.481, Unplugged,35
08/05/2019 23:35:14.483, Unplugged,34
08/05/2019 23:40:14.483, Unplugged,34
08/05/2019 23:45:14.483, Unplugged,33
08/05/2019 23:50:14.484, Unplugged,32
08/05/2019 23:55:14.485, Unplugged,31
08/06/2019 00:00:14.488, Unplugged,30
08/06/2019 00:05:14.489, Unplugged,30
08/06/2019 00:10:14.492, Unplugged,29
08/06/2019 00:15:14.493, Unplugged,28
08/06/2019 00:20:14.494, Unplugged,27
08/06/2019 00:25:14.496, Unplugged,27
08/06/2019 00:26:48.341, Unplugged,26
08/06/2019 05:11:07.548, Unplugged,15
08/06/2019 05:16:07.548, Unplugged,14
08/06/2019 05:21:07.549, Unplugged,13
08/06/2019 05:26:07.550, Unplugged,12
08/06/2019 05:31:07.551, Unplugged,10
08/06/2019 05:36:07.552, Unplugged,9
08/06/2019 05:41:07.552, Unplugged,8
08/06/2019 05:46:07.552, Unplugged,6
08/06/2019 05:51:07.553, Unplugged,6
08/06/2019 05:56:07.554, Unplugged,4
08/06/2019 06:01:07.556, Unplugged,3
08/06/2019 06:05:25.178, Unplugged,1
08/06/2019 06:05:33.881,Plugged,1
08/06/2019 06:05:34.100,Plugged,1
08/06/2019 06:05:34.852,Plugged,1
08/06/2019 06:05:34.981,Plugged,1
08/06/2019 06:05:35.151,Plugged,1
08/06/2019 06:05:35.954,Plugged,1
08/06/2019 06:50:44.552, Unplugged,70
08/06/2019 06:50:59.424,Plugged,69
